titulo,direccion,precio,descripcion,construido,terreno,fecha,ide
Lomas de Oblatos,Hacienda Mazatepec # 3470,"MN 1,350,000","Casa en dos niveles con espacios muy amplios, planta baja sala-comedor, cocina sencilla, 2 recamaras, baño completo, patio de servicio, cochera para 1 auto; planta alta 2 recamaras, baño completo, estar de tv, cuarto de lavado, patio de servicio. cuenta con un gravámen con Infonavit.",200m²,123m²,Publicado hace 45 días,
Bonita Casa con Excelente Ubicación.,HACIENDA CUASTECOMATE #,"MN 1,400,000",BONITA CASA CON EXCELENTE UBICACIÓN A UNA CUADRA DE CIRCUNVALACIÓN OBLATOS Y JOAQUÍN AMARO.,224m²,112m²,Publicado hace 69 días,
Casa Remodelada en Col. Santa Elena,TERUEL 3264,"MN 1,700,000","HERMOSA CASA CON ACABADOS DE LUJO. CALLE TERUEL 3264 COLONIA SANTA ELENA DE LA CRUZ COCHERA PARA UN AUTO SALA/COMEDOR COCINA INTERAL DE GRANITO AREA DE SERVICIO SALA DE TV 2 RECAMARAS, LA PRINCIPAL CON VESTIDOR 2 BAÑOS Y MEDIO 5M FRENTE POR 15M FONDO PORTON ELECTRICO",140m²,75m²,Publicado hace 47 días,56096612
Casa en Providencia en Venta,PROVIDENCIA 3RA SECCION,"MN 6,000,000","A DOS CUADRAS DE PUNTO SAO PAULO TERRENO: 250 M2 CONSTRUCCIÓN: 288 M2 RECAMARAS: 3 Sala, comedor, cocina integral Jardín con terraza Cuarto de servicio Medio baño para visitas Baño completo con vestidor en recamara principal Dos recamaras comparten baño completo Área de tv Cochera 2 autos",288m²,250m²,Publicado hoy,
Casa en Venta Jardines de La Cruz 5 Recámaras,isla Barbados,"MN 2,850,000","Excelente propiedad ubicada en jardines de la Cruz, 5 recamaras amplios espacios, patio de lavado, cocina integral, calentador solar, aire acondicionado en sala y recámaras superiores esta en excelente estado, que no te la ganen!",250m²,140m²,Publicado hace 28 días,
Hermosa Casa en Venta en San Juan de Dios II Sector Reforma,San Juan de Dios,"MN 1,980,000","Hermosa casa remodelada en excelente ubicación, Por calle Medrano en la colonia San Juan de Dios II, Sector Reforma, a 1 cuadra de Av. Revolución. La casa cuenta con: Sala Comedor Cocina Patio 3 habitaciones 2 1/2 baños Terraza que puede convertirse en habitación con balcón Local comercial equipado Estacionamiento para 1 carro Sistemas Hidráulicos, Eléctrico y Sanitario completamente nuevos.",188m²,100m²,Publicado hace 19 días,
Casa a La Venta en Guadalajara Centro,Avenida República,"MN 3,500,000","Ref: NEX-3957Venta de hermosa casa habitación, con excelente ubicación en el centro de Guadalajara y con fáciles accesos a las grandes avenidas.La propiedad es perfecta para ofrecer servicios escolares, bodegas, oficinas, o incluso para habitar de forma permanente por una familia numerosa, ya que cuenta con 8 habitaciones, 2 baños completos y 2 espacios de estacionamiento, además de hermosas áreas comunes que se iluminan de forma natural.No dudes contactar al asesor para conocer la propiedad y convencerte de que puede ser sede de tu próximo negocio o el nuevo hogar de tu familia.",474m²,467m²,Publicado hace 31 días,
Av Topacio - Amplia Casa - Residencial Victoria,Avenida Topacio 2926 entre Aguamarina y Lapizlazuli,"MN 13,400,000","Hermosa residencia, construida en 3 niveles. Primer Nivel: Amplio recibidor, Sala independiente, Comedor, Estudio, medio baño y closet, Cocina integral, Ante comedor, Terraza, Jardín, Cancha de Squash con baño y una recamara, Cochera para 5 autos. Segundo Nivel: 5 recamaras, Principal con baño y vestidor, 2 recamaras con baño y vestidor y 2 recamaras compartiendo baño, Amplio distribuidor para televisión, Cuarto de planchado, Tercer Nivel: 3 cuartos de servicio, baño completo y patio.",880m²,648m²,Publicado hace 28 días,
Casa en Venta con Excelente Ubicacion a 10 Minutos del Centro de Guadalajara,Privada Mojonera,"MN 1,850,000","Casa con 4 años de antigüedad, muy cerca del centro, cochera techada para 2 autos, sala-comedor muy amplios, sala de tv, cocina integral de madera, patio de servicio con piso, medio baño en planta baja, 3 recamaras en planta alta, un baño completo en la habitación principal, un baño completo compartido, balcón hacia el patio de servicio, cuenta con cisterna.",2,180m²,Publicado hace 86 días,55791631
Casa de un Solo Nivel en Jardines de Santa Isabel,BATALLON DE SAN BLASS,"MN 2,150,000","CASA DE UN SOLO NIVEL EN PERFECTAS CONDICIONES, CON UNA EXCELENTE UBICACION Y ZONA TRANQUILA. CUENTA CON COCHERA PARA UN AUTO, JARDIN FRONTAL, SALA, COMEDOR, COCINA, RECAMARA PRINCIPAL CON BAÑO, DOS RECAMARAS SECUNDARIAS COMPARTEN BAÑO, PATIO DE SERVICIO. LISTA PARA CONSTRUIR UN SEGUNDO NIVEL SEGÚN TUS NECESIDADES.",90m²,119m²,Publicado hace 27 días,
