titulo,direccion,precio,descripcion,construido,terreno,fecha,ide
Mansiones de Lujo en Colinas de San Javier Guadalajara,,"MN 35,000,000",Anuncio en ProcesoEsta Mansion está disponibleContamos con un Catalogo amplio de Propiedades en Zapopan y Guadalajara. Somos Profesionales y tenemos larga experiencia en clientes VIPAtte DireccionHiram Prigadaa GuevaraVer datos,1200m²,2000m²,Publicado hace 112 días,
Casa en Venta en Alcazar,alcazar,"MN 23,200,000","Espectacular casa nueva en Condominio Alcazar, la casa cuenta con acabados de lujo, piso de mármol. •Sótano Estacionamiento para 5 autos, bodega, cuarto de servicio y cuartos de juegos. •Planta baja Recibidor con muro llorón a doble altura, estudio, baño completo, cocina de granito equipada con barra desayunadora, comedor, sala, terraza, bar, jardín y medio baño. ALCAZAR. EN VENTA $Ver datos •Planta Alta Cuenta con 3 recámaras la principal con clóset muy amplio y baño completo, las recámaras secundarias muy amplias con duela y baño vestidor, estar de T.V., clóset de blancos y patio de servicio.",520m²,367m²,Publicado hace 14 días,
Country Club,,"MN 8,850,000",EXCELENTE CASA EN COTO PRIVADO CON VIGILANCIA,326m²,296m²,Publicado hace 119 días,54724087
Casa de Remate Bancario en Guadalajara,RINCONADA DE LA ORQUIDEA,"MN 3,702,225","¡CASA DE RECUPERACIÓN BANCARIA, EXCELENTE OPORTUNIDAD PARA INVERTIR EN SU FUTURO, CON GRANDES CONDICIONES DE VENTA, EXCELENTE UBICACIÓN Y GRANDES BENEFICIOS! CESIÒN INMEDIATA Y LO MEJOR ES EL PRECIO QUE SE DIVIDE EN DOS EXHIBICIONES: $ 3.702.225,00 EL PRIMER PAGO ES DE: $ 730.000,00 Y SE PAGA EL DÍA DE LA FIRMA DE CONTRATO EL SEGUNDO ES DE: $ 2.972.225,00 Y SE PAGA AL FIRMAR CON EL NOTARIO -NO SE ACEPTA NINGÚN TIPO DE CRÉDITO- INVERSIÓN GARANTIZADA EN CONTRATO",469m²,335m²,Publicado hace 3 días,
“fraccionamiento Chapultepec - Country”,Calle Elba 1054,"MN 4,290,000","Residencia ubicada en Avenida de los Maestros Esquina con calle Elba, a una cuadra de glorieta Manuel Cambre contra esquina del Colegio de Ingenieros Civiles del Estado. IDEAL PARA REMODELAR PLANTA BAJA: • Sala • Comedor • Cocina Integral • Recamara con baño • Patio de Servicio • Cochera 2 Autos PLANTA ALTA • 4 Recamaras • 2 Baños completos",320m²,320m²,Publicado hace 66 días,
Casa en Venta Colonia Insurgentes Guadalajara,Malecón 596,"MN 1,290,000","Muy buena oportunidad se vende por debajo de su avalúo!!! el terreno mide 7x24 y tiene 253 metros construidos La casa esta en buenas condiciones para su edad, posible expansión en la segunda planta, 5 recamaras, 3.5 baños, sala comedor, cocina integral, recibidor, cochera, terraza y patio.",253m²,168m²,Publicado hace 31 días,
Casa en Venta Col Monumental,paseo bohemio,"MN 2,250,000","Casa cerca Calz independencia, cuenta con cochera 2 autos, sala comedor, cocina con antecomedor, recamara con baño completo, un baño completo, recamara y patio. planta alta: 3 recamaras , un baño completo, cuarto servicio.",210m²,143m²,Publicado hace 126 días,
Casa en Venta en Bosques de La Victoria,ISLA MARIA CLEOFAS,"MN 7,500,000","ENORME CASA QUE CONSTA DE TRES PLANTAS, LA PLANTA BAJA CUENTA CON 5 CAJONES DE ESTACIONAMIENTO, INGRESO, ESTUDIO CON BAÑO COMPLETO, CAPILLA, SALA, COMEDOR, COCINA, TERRAZA Y PATIO, EN ESTACIONAMIENTO CUENTA CON INGRESO INDEPENDIENTE A LAS DOS PLANTAS SIGUIENTES Y ESCALERA A PLANTA ALTA. EL PRIMER NIVEL CONSTA DE DISTRIBUIDOR, UNA RECAMARA PRINCIPAL CON BAÑO, JACUZZI, VESTIDOR Y BALCON, SEGUNDA RECAMARA CON VESTIDOR Y BAÑO COMPLETO, TERCER RECAMARA CON VESTIDOR Y BAÑO COMPLETO. SEGUNDO NIVEL: AREA DE SALA DE JUEGOS CON BARRA DE BAR, TODA ENCHAPADA EN MADERA, BAÑOS COMPLETOS PARA HOMBRES Y MUJERES, AREA DE GIMNASIO, CUERTO DE SERCICIO Y LAVADO MAS PLANCHADO, ESTE CON ACCESO A LA AZOTEA COMO AREA DE TENDIDO. EXCELENTE INVERSION PARA TU PATRIMONIO.",346m²,529m²,Publicado hace 82 días,
"*colonia Patria Nueva, Comoda y Espaciosa",Guillermo vaca,"MN 1,000,000","Muy bien ubicada cerca de escuelas y centros comerciales. con rutas accesibles, como 645 y 358 distribución: en PLANTA BAJA. un Baño completo, Sala, Comedor, Cocina, dos Habitaciones y area de lavado. PLANTA ALTA Baño completo, dos Habitaciones muy amplias, escalera para azotea. Protecciones en Puertas y Ventanas. Pasillo de Servicio o Bodega.",125m²,151m²,Publicado hace 53 días,
"Linda Casa de “una Planta” en Fracc. Providencia a $5,300,000",Providencia,"MN 5,300,000","Casa muy bien ubicada de 3 recamaras, 2 baños y medio más el del cuarto de servicio. Sala, comedor, cocina integral, área de estar amplía, patio macetero, jardín, estacionamiento para un auto. En PA tiene en el área de servicio cuarto de servicio y bodega. T.- 208 M2 / C.- 210 M2",210m²,208m²,Publicado hace 141 días,
"Casa de Huéspedes en Venta, Junto Al Centro Medico",,"MN 2,200,000","Casa de Huéspedes a una cuadra del centro médico, 11 recámaras, 5 baños, dos niveles, le falta remodelación, aunque funciona al 100 por ciento Raúl Ríos (celular) Ver datos",390m²,390m²,Publicado hace 56 días,
Casa en Venta en Colonia Providencia Guadalajara,montreal #1017,"MN 6,950,000","EXCELENTE CASA HABITACIÓN CON AGRADABLES ESPACIOS EN LA COLONIA PROVIDENCIA . 3 RECAMARAS LA PRINCIPAL CON CLOSET VESTIDOR,ESTAR DE T.V CON ESPACIOS AMPLIOS E ILUMINADOS. RECIBIDOR,SALA COMEDOR EN DESNIVEL ,ESTUDIO ,MEDIO BAÑO,JARDIN ,CUARTO DE SERVICIO COMPLETO . CASA CON AMPLIOS ESPACIOS Y CARPINTERÍA DE CAOBA. LA PROPIEDAD SE ENCUENTRA EN PERFECTAS CONDICIONES DE MANTENIMIENTO LISTA PARA HABITARSE. A TUS ORDENES, PREVIA CITA. INFORMES Y CITAS : Gdl Habitat movil 3Ver datos / Ver datos 44 -habitat.com soluciones inmobiliarias.",343m²,263m²,Publicado hace 5 días,55367776
Casa en Venta en Oblatos,,"MN 1,400,000","casa remodelada muy céntrica, cerca de hospital Porfirio Diaz, a 3 cuadras del mercado del mar baño con tina",65m²,85m²,Publicado hace 38 días,
Venta Casa en Analco Zona Comercial,calle 5 de mayo #70 analco,"MN 3,680,000","Casa en venta zona Centro PLANTA ALTA: 5 recamaras 2 baños Sala comedor Cocina Cochera para dos vehículos PLANTA BAJA 3 recamaras 2 baños Sala, Amplio comedor y cocina Patio 270 m2 de terreno 434m2 de construccion",434m²,270m²,Publicado hace 102 días,
Preciosa Casa en Guadalajara. Oportunidad Remate Bancario.,"VOLCAN SAN BENEDICTO, Panoramica Huentitan, Guadalajara, Jalisco.","MN 1,932,400","No pierda la oportunidad de adquirir un bien por debajo de su valor comercial. OPORTUNIDAD DE INVERSIÓN Casa de remate bancario ubicada en VOLCÁN SAN BENEDICTO, Panorámica Huentitan, Guadalajara, Jalisco. Gran Precio por debajo del valor comercial a tan solo $ 1,932,400.00 a pagar en dos exhibiciones. Primer pago muy accesible de $ 520,000.00 al firmar el contrato y el segundo pago de $ 1,412,400.00 al firmar con el notario y representantes legales. Valor menor al de mercado entre un 30% y un 50% INVERSIÓN GARANTIZADA. NO SE ACEPTAN CRÉDITOS DE NINGÚN TIPO. TEL: Ver datos de lunes a viernes de 09:00 am a 03 :00 pm Whatsaap: Ver datos de lunes a sábado de 10:00 am a 07:00 pm Lic. FRIDA VALLE Atención a Clientes: Ver datos de lunes a viernes de 10:00 am a 06:00 pm",120m²,120m²,Publicado hoy,
Casa en Venta en Jardines del Sur,ISLA JAVA #3340,"MN 1,759,999",Nocnok ID: MX16-CE6609. OPORTUNIDAD CASA NUEVA DENTRO DE LA CIUDAD EN COTO PRIVADO TODOS LOS SERVICIOS. A TU ALCANCE FRENTE A PARQUE VEN A VIVIR EN GUADALAJARA SON 3 RECAMARAS 3 BAÑOS COMPLETOS ESTAR DE TV. COCHERA 2 autos en coto privado entrega INMEDIATA CONTACTO LIC ROGELIO RAMIREZ CEL Ver datosse muestra solo previa cita. Estátus jurídico: Libre de gravamen.ADVERTENCIA: Recuerda que nunca debes dar un anticipo sin validar que esta publicación sea legítima. NOCNOK no se hace responsable por la información contenida en los anuncios publicados por los usuarios a través de su sistema.,110m²,100m²,Publicado hace 10 días,
Casa en Venta en Providencia,Bogotá,"MN 12,000,000","Se vende casa con excelente ubicación en Providencia, una de las zonas más lujosas y comerciales de Guadalajara, sus avenidas principales se han convertido en el centro de preferencia por su amplitud y arbolado, muy cerca de parques emblemáticos, ideal para vivir o para inversionistas con proyectos de condominio vertical, a unos pasos de las avenidas más importantes como Rubén Darío y Pablo Neruda. La construcción consta de 2 niveles, PB: cochera para 2 autos, recibidor, baño completo, sala y comedor con ventanales que permiten darle iluminación natural, cocina tradicional equipada con estufa, horno y entrada de servicio, clóset de alacena, amplio jardín con alberca, ahí mismo se encuentra una recámara independiente para visitas con baño completo, cuarto de servicio con baño completo, área de lavado. PA: distribuidor 4 recámaras con clóset de pared a pared, 2 compartiendo 1 baño completo con tina, 1 con baño completo y vestidor, la principal con baño completo y jacuzzi, todas con balcón. ¡No espere más y programe una cita con nuestros asesores de IMMO Real Estate y hágala suya!",381m²,345m²,Publicado hace 6 días,55038338
Hermosa Casa Habitacion con Local Comercial en Venta.,,"MN 2,100,000","HERMOSA CASA HABITACION CON LOCAL COMERCIAL EN VENTA. UBICADA: Fracc. Lomas del Paradero, Guadalajara, Jalisco. La propiedad cuenta con 172 metros de terreno y 234 en construcción. Local: 14 metros. Cuenta con 2 plantas: Planta baja: Cochera cubierta para un auto, ingreso, sala, comedor, cocina integral, cubo de escaleras, distribuidor, baño completo de uso común, área de lavado cubierta y patio de servicio descubierto. Planta alta: Distribuidor, recamara principal con baño completo de uso exclusivo, una recamara con vestidor, una recamara adicional, baño completo de uso común, área tipo estudio y área de lavado con cubierta ligera. $2,100,000.00 Para mas información visita: -asesores.com",234m²,172m²,Publicado hace 7 días,
Casa de Remate Bancario en Guadalajara,Rinconada de la Orquidea,"MN 3,702,225","¡CASA DE RECUPERACIÓN BANCARIA, EXCELENTE OPORTUNIDAD PARA INVERTIR EN SU FUTURO, CON GRANDES CONDICIONES DE VENTA, EXCELENTE UBICACIÓN Y GRANDES BENEFICIOS! CESIÒN INMEDIATA Y LO MEJOR ES EL PRECIO QUE SE DIVIDE EN DOS EXHIBICIONES: $ 3.702.225,00 EL PRIMER PAGO ES DE: $ 730.000,00 Y SE PAGA EL DÍA DE LA FIRMA DE CONTRATO EL SEGUNDO ES DE: $ 2.972.225,00 Y SE PAGA AL FIRMAR CON EL NOTARIO -NO SE ACEPTA NINGÚN TIPO DE CRÉDITO- INVERSIÓN GARANTIZADA EN CONTRATO",469m²,335m²,Publicado hace 91 días,
"Casa en Venta Para Remodelar, Excelente Zona.",Monte La Luna #810,"MN 1,550,000","CASA EN VENTA PARA REMODELAR, EXCELENTE ZONA. Oportunidad, excelente finca en una sola planta para remodelar en Venta Sobre avenida, magnifico frente de 9 mts y fondo de 25 mts. 6 Habitaciones, 2.5 baños, patio trasero. Cercanías: Centro Medico, Av. Belisario Domínguez, Calzada Independencia, Av. Juan Pablo II, Plaza Oblatos, Clínica 110, entre otros.",157m²,227m²,Publicado hace 13 días,
"Excelente Oportunidad de Inversión, Casa de Recuperación Bancaria",BRUNO MORENO,"MN 2,022,451","Magnifica oportunidad de compra en JARDINES ALCALDE, GUADALAJARA en tan solo $2,022,451.52 M.N. Con un pago inicial de $460,000.00 M.N. A la firma de contrato, el resto $1,562,451.52 M.N A la firma de Cesión ante Notario, al ser un inmueble proveniente de recuperación bancaria, se oferta de un 40% a un 70% debajo del costo comercial, se requiere exclusivo pago de contado, no se aceptan créditos. Contrato con la garantía de su inversión al 100% somos una empresa líder en el ramo, consolidada desde hace 8 años, contamos con la experiencia necesaria para llevar al éxito su inversión con todas las garantías requeridas. Ventas e informes Lic. Mayra Monroy Móvil: Ver datos.16 APE INMOBILIARIA, S.C",200m²,200m²,Publicado hoy,56411127
Hotel Familiar Estupendo Para Modernizar,RINCONADA BUGAMBILIAS 3609,"MN 11,000,000","ESTUPENDO HOTEL, CON TODOS LOS SERVICIOS FUNCIONANDO AL 100 E IDEAL PARA INVERSIONISTA, REMODELAR COMO HOTEL BOUTIQUE MODERNO, FUNCIONAL, O AIRBNB , CON AMBIENTE FRESCO EN LA MEJOR ZONA DE GUADALAJARA, A ESPALDAS DE PLAZA MEXICO, HOSPITAL DEL CARMEN, PLAZA BONITA, ETC, CUENTA CON 18 HABITACIONES CON BAÑO, RECEPCION, LAVANDERIA, 4 TERRAZAS, ULTIMA REMODELACION EN 2003, CON UNA SERVIDUMBRE FUNCIONANDO CON PERMISO ESPECIAL AUTORIZADO Y PAGADO AL AYUNTAMIENTO, CON CARTERA DE CLIENTES , Y CONSTANTE FLUJO. UNICA OPORTUNIDAD!!!! GRAN INVERSION!!! DUEÑO CAMBIA DE RESIDENCIA.",600m²,265m²,Publicado hace 61 días,
"Casa en Privada Violeta, Colonia San Carlos Guadalajara Jalisco",PRIVADA VIOLETA,"MN 1,150,840","CASA EN REMATE BANCARIO: Este tipo de compras en REMATE BANCARIO, tiene ventajas como: *Si lo quieres como inversión, la mejor es en bienes inmuebles ya que con este tipo de compras puedes duplicar y hasta triplicar tu inversión en un plazo muy corto. **Si lo quieres para vivir, obtendrás una propiedad que por su costo no la encontrarías de ninguna otra forma de compra. ***Y si alguna vez habías pensado vivir de tus rentas, esta podría ser la mejor forma de hacerte de bienes inmuebles a bajo costo y rentar. Querer es Poder! Si Puedes pagar de contado, ya que estas operaciones son solo de contado en dos pagos:$285,000.00 al iniciar el trámite y el resto en un plazo aproximado de seis meses. y Quieres espera de 8 a 14 meses máximo,para obtener estos beneficios. Puedes llamar al :Ver datos Atención: Gerardo Hernández",100m²,166m²,Publicado hace 48 días,
Se Vende Hermosa y Amplia Casa en Country Club!,Country club,"MN 11,850,000","Casa en venta en zona privilegiada, 5 años de remodelación, mejores acabados, cuenta con 4 lugares de estacionamiento, recibidor, medio baño, estar de tv, cocina integral, cava, 4 recamaras con baño. Gran oportunidad!!!!!",480m²,350m²,Publicado hace 48 días,
Excelente Oportunidad de Inversión Casa de Recuperación Bancaria,"CALLE ISLA SALINA, JARDINES DEL SUR, GUADALAJARA","MN 941,621","Magnifica oportunidad de compra en Jardines del Sur, Guadalajara, en tan solo $941,621.02 M.N. Con un pago inicial de $280,000.00 M.N. A la firma de contrato, el resto $661,621.02 M.N A la firma de Cesión ante Notario, al ser un inmueble proveniente de recuperación bancaria, se oferta de un 40% a un 70% debajo del costo comercial, se requiere exclusivo pago de contado, no se aceptan créditos. Contrato con la garantía de su inversión al 100% somos una empresa líder en el ramo, consolidada desde hace 8 años, contamos con la experiencia necesaria para llevar al éxito su inversión con todas las garantías requeridas. Informes y Ventas: Lic. Mayra Monroy Móvil: Ver datos.16 APE INMOBILIARIA, S.C",140m²,140m²,Publicado hoy,56217014
"Hermosa Casa! Ven por Ella, en Privada y Excelente Zona.",HACIENDA MAZATEPEC,"MN 1,050,000","¿¿CANSADO DE PAGAR RENTA?? VEN POR TU CASA, TE ESPERAMOS!!!!!",147m²,147m²,Publicado hace 5 días,
Casa en Venta en Colinas de San Javier,Paseo al Arroyo Condominio Callejón del Secreto 2045 16,"MN 29,900,000","se ubica en uno de los cotos mas exclusivos de la ciudad con salida a 2 calles, este inmueble fue construida con",684m²,684m²,Publicado hace 83 días,
Casa en Venta en Residencial Victoria,CORAL,"MN 14,450,000","Hermosa residencia en excelente ubicación muy cerca de plaza del sol, excelente opción para hotel boutique o desarrollo habitacional, cuenta con 5 recámaras, 7 baños completos, 2 medio baños, 3 cocinas, 3 recibidores, sala, comedor, antecomedor, amplia terraza con salón de juegos, jardín con área social y alberca, construida en 2 niveles.",900m²,763m²,Publicado hace 144 días,55565981
"Cómoda Casa en Una Sola Planta, Jardines de La Cruz",Vicente Yañez Pinzón 2719,"MN 2,400,000","Casa en Venta en Jardines de la Cruz, Casa de una planta , con sala y comedor, cocina integral, patio de lavado, 3 recámaras, la principal con baño y clóset y las secundarias comparten baño, tiene un patio trasero muy amplio.",135m²,140m²,Publicado hace 5 días,
Casa en Venta Colonia Analco,analco,"MN 3,680,000","Casa en venta zona Centro PLANTA ALTA: 5 recamaras 2 baños Sala comedor Cocina Cochera para dos vehículos PLANTA BAJA 3 recamaras 2 baños Sala, Amplio comedor y cocina Patio 270 m2 de terreno 434m2 de construccion cod vig.",434m²,270m²,Publicado hace 117 días,
"Casa en Venta, Polanco Guadalajara",Felipe Lopez #,"MN 850,000","Casa en venta en la colonia Polanquito municipio de Guadalajara, ubicada a unas cuadras de la Av. 8 de Julio. La zona cuenta con todos los servicios, luz, agua, drenaje, cable, internet, trasporte publico, mercados, templos, escuelas, tiendas de auto-servicio, bancos, unidad de salud, unidad deportiva, entre otros comercios. Las vías de rápido acceso Av. Patria, 8 de Julio, Periférico sur, Av. Jesús Reyes Heroles.",90m²,105m²,Publicado hace 118 días,
Se Vende Casa con Local Comercial - La Guadalupana,Andalucia 2396,"MN 1,790,000","Casa en Venta en Jaridnes Alcalde con Local Comercial en Esquina, además de 5 recámaras, dos pisos , cocina integral, sala y comedor y patio. Exelente para comerciante. DOMICILIO: CALLE: Andalucia #2396 ENTRE: Lorenzo de Tristan y Andalucia COLONIA: La Guadalupana GUADALAJARA, JALISCO. GENERALES Edad 40 Años Terreno 132 m2. Construcción 239 m2. Frente 12 m Fondo 11.23 m Nivel 2 Estacionamientos 0 CARACTERÍSTICAS Planta Baja Planta Alta * Sala y Comedor * 4 Recámaras * Cocina Integral con Clóset * 1 Recámara * Recibidor * Patio de Servicio * Patio de Servicio * Estudio * Baño Completo * Baño Completo * Local Comercial con Baño ACABADOS * Vitropiso * Ventanería en Herrería * Carpintería en Clósets y Puertas SERVICIOS DE LA ZONA * Escuelas * Comercios * Bancos * Vías de acceso rápido",239m²,132m²,Publicado hace 54 días,
"Excelente Casa en Jardines Alcalde, Recuperacion Bancaria, Cesion Inmediata.","Calle Bruno Moreno, Jardines Alcalde, Guadalajara, Jalisco","MN 2,022,451","No dejes pasar la oportunidad de adquirir un inmueble de recuperación bancaria a MENOS DE LA MITAD DE SU PRECIO. Excelente ubicación. Con todos los servicios CONTADO, NO SE ACEPTAN CREDITOS HIPOTECARIOS Apártala pagando $460,000 el resto a la cesión de derechos a la firma con notario. Inversión 100% garantizada bajo contrato. Agenda tu cita con MARYSOL BIBIANO: Cel. Ver datos /",200m²,190m²,Publicado hace 102 días,
Se Vende Casa en Colonia Mezquitan Country,Frías 1229,"MN 1,975,000","Hermosa casa en venta en Mezquitan Country Coto La Escondida. Cuenta con 3 recamaras con closet, 1 baño completo en planta alta y medio baño en planta baja, área amplia de lavado, cocina integral, área de sala y comedor. Propiedad con excelente ubicación a 15 minutos de Plaza Patria. Pierina Fararoni",98m²,53m²,Publicado hace 10 días,
Casa en Venta en Jardines del Country 3 Recamaras.,circunvalación,"MN 4,295,000","Casa recién remodelada 3 récamaras la principal con vestidor y baño, las secundarias comparten baño, cocina integral, sala y comedor bodega, recibidor, 1/2 baño , 3er piso cuarto de servicio con baño, cuarto de lavado, balcón y terraza , aire acondicionado en recamara principal , luces led, cochera para 3 autos con porton de seguridad , ubicadisima cerca de todo!!",240m²,170m²,Publicado hoy,
Casa en Venta Col. Echeverria.,Carlos Cabanillas 836,"MN 2,195,000","Casa duplex en buen estado, la parte de arriba 3 recamaras 2 con closet, 1 baño completo, sala comedor, cocina integral, balcón, escalera independiente. La parte de abajo 2 recamaras, 1 baño completo, con espacio para lavadora, patio en parte de atrás y cochera para 1 auto.",303m²,236m²,Publicado hace 98 días,
Excelente Ubicación a Unas Cuadras de Plaza del Sol y Abastos,Quebrada,"MN 10,850,000","Casa excelente ubicación a unas cuadras de plaza del sol y arboledas 20 de frente por 30 de fondo planta baja cochera para 4 autos sala comedor, ante comedor, recibidor, una recamara, medio baño, jardín amplio con alberca, y una casa de madera chica para vistas con lo indispensable planta alta 4 recamaras todas con baño y la principal con jacuzzi",416m²,489m²,Publicado hace 52 días,
Casa en Venta en Residencial de La Barranca,Barranca del Cobre 3650,"MN 2,100,000","Casa con tres recamaras, 2.5 baños, sala comedor, cocina integral, barra desayunadora, patio de servicio, jardín, cochera 2 autos, reja alta, calle cerrada, atrás de la academia de policía, excelente ubicación, como nueva, 5 años, 95 metro de terreno y 115 construcción, informes 33 Ver datos",115m²,95m²,Publicado hace 6 días,
"Casa en Venta de Una Planta en Col. Margarita Maza de Juárez, Guadalajara, Jal.",MARGARITA JUAREZ,"MN 1,590,000","Descripción Casa en venta, 1 sola planta, 4 recámaras, una de ella está al frente y es muy amplia, puede funcionar como local para generar un ingreso. 1 baño completo, bodega, patio de tendido.",115m²,167m²,Publicado hace 106 días,
Buena Casa en Jardines de La Paz,Artemio del Valle Arizpe 2826,"MN 1,960,000","Excelentemente ubicada, recién pintada. Su distribución es la siguiente: Garage cubierto para dos autos, ingreso principal, sala comedor separados, área de estar, cocina integral, patio. Baño de visitas. En planta alta tres recamaras y un baño completo, área de lavado.",167m²,90m²,Publicado hace 24 días,
Casa en Venta Colonia Lomas de Polanco,Laura Mendez 3937,"MN 3,200,000",Excelente Propiedad en zona comercial y en esquina. Cuenta con 25 m sobre Av. Patria donde hay 5 locales comerciales con cortina metalica y tiene también 100 m² de Casa Habitación con 2 recámaras y 2 baños.,218m²,247m²,Publicado hace 144 días,
Casa de Recuperación Bancaria Bruno Moreno Guadalajara,BRUNO MORENO,"MN 2,022,451","¡CASA DE RECUPERACIÓN BANCARIA, EXCELENTE OPORTUNIDAD PARA INVERTIR EN SU FUTURO, CON GRANDES CONDICIONES DE VENTA, EXCELENTE UBICACIÓN Y GRANDES BENEFICIOS! CESIÓN INMEDIATA Y LO MEJOR ES EL PRECIO QUE SE DIVIDE EN DOS EXHIBICIONES: $ 2.022.451,52 EL PRIMER PAGO ES DE: $ 460.000,00 Y SE PAGA EL DÍA DE LA FIRMA DE CONTRATO EL SEGUNDO ES DE: $ 1.562.451,52 Y SE PAGA AL FIRMAR CON EL NOTARIO -NO SE ACEPTA NINGÚN TIPO DE CRÉDITO- *****INVERSION GARANTIZADA EN CONTRATO***** LIC. ALBERTO ESPINOZA GERENTE E VENTAS APE INMOBILIARIA Ver datos",180m²,240m²,Publicado hace 8 días,
Casa en Remate Bancario Col Lopez Portillo Guadalajara Jalisco No Créditos,Samuel Navarro,"MN 1,351,360","CASA en remate bancario en Calle SAMUEL NAVARRO COL LOPEZ PORTILLO GUADALAJARA JALISCO su precio es de $ 1,351,360.00 con un primer pago a la firma de contrato de $ 340,000.00 y el segundo pago a los tres meses cuando se firme la cesión de derechos ante Notario Público y un representante del banco INVERSION GARANTIZADA EN CONTRATO infomes Lic. Mario Espinoza A tel Ver datos",120m²,120m²,Publicado hace 28 días,
Linda Casa Zona Villas de Guadalupe Remate Bancario,JOSE PANTOJA GOMEZ Villas de Guadalupe,"MN 1,504,500","Super gran oportunidad para poder adquirir un bien por debajo de su valor comercial con excelente oportunidad de INVERSIÓN. Inmueble de remate bancario ubicada en JOSE PANTOJA GOMEZ ,Villas de Guadalupe,Guadalajara Excelente precio por debajo del valor comercial a tan solo $1,504,500 con un primer pago de $520,000.00 al firmar el contrato y un segundo pago $984,500.00 al firmar con el notario y representantes legales. Valor menor al de mercado entre un 30% y un 50% INVERSIÓN GARANTIZADA. NO SE ACEPTAN CRÉDITOS DE NINGÚN TIPO. CONTACTANOS PARA BRINDARTE MAYOR INFORMACIÓN. LIC. LIZBETH PIÑON ESPINOSA OFICINA Ver datos 9:00 AM - 3:00 PM ATENCIÓN AL CLIENTE Ver datos 3:00 PM - 6:00 PM WHATSAPP 55 79 08 4 087 3:00 PM - 9:00 PM",2,80m²,Publicado hace 6 días,56253455
Independencia Casa en Venta,,"MN 2,498,500","Propiedad super ubicada, ganala!!!Cerca de principales avenidas, Independencia y Circunvalación, fácil acceso.Casa un piso con Mezzanine ideal para estudio o sala de TV, sala - comedor. Consta de tres recámaras, principal con baño; cocina, área de lavado, patio de gran tamaño...Ideal para remodelar...Inmueble en muy buenas condiciones.",146m²,175m²,Publicado hace 27 días,
Casa Venta en Francisco Villa.,Apolonio M. Aviles 3610,"MN 2,100,000","Casa una planta, 3 recamaras, 3 baños, comedor, cocina de material, jardín. P.A Salón de juegos, 1 baño, Otra casa entrada independiente con 2 recamaras, 2 baños, cocina integral.",199m²,208m²,Publicado hace 3 días,
"Propiedad en Venta en Calle Pavo, Zona Guadalajara Centro",Pavo 441,"MN 2,196,238","¡Propiedad en venta en calle Pavo, Zona Guadalajara Centro! A unos pasos de Federalismo y Av. La Paz Terreno: 114 m2 (6 m de frente x 19 m de fondo) Inmueble ideal para oficinas, consultorios o casa habitación. Construcción en tres niveles con la siguiente distribución: Primer nivel: 1 y medio baños, rampa para discapacitados, tres habitaciones. Segundo nivel: tres cubículos de tablaroca, baño completo, área de sala o recibidor y balcón. Tercer nivel: Baño completo, área de sala o recibidor, área de estar de 6x6 m. PRECIO BASE: $2,196,238 MXN ¡Llama a los teléfonos Ver datos / Ver datos ! Encuentra más propiedades en",114m²,114m²,Publicado hace 137 días,
¡Se Vende Casa en Colonia Americana de 5 Recámaras Ideal Para Hostal!,AMERICANA,"MN 5,450,000","Casa en venta en Americana, recién REMODELADA ideal para hostal, 5 recámaras, 2 baños completos, patio central y trasero, cocina , opción para construir un segundo piso, cochera para 1 auto a 1 cuadra de Av. La Paz",257m²,344m²,Publicado hace 133 días,
Casa Col. Federalsmo,MONTE ACONCAGUA1299,"MN 1,400,000","Monte Aconcagua #1299 Col. Federalismo Precio: $1´400,000.00 Dist. Cochera, sala, cocina, comedor, 3 recamaras, baño, y un local comercial en la esquina sup. 10 x 10 (a espalda de la gasolinera de Belisario Domínguez y Circunvalación) cruza con Monte Parnaso), cerca de donde era el canal seis de tv.",120m²,140m²,Publicado hace 133 días,
"Independencia, a Dos Cuadras de La Calzada Independencia","MONTE APENINOS , COL. INDEPENDENCIA, GUADALAJARA","MN 5,100,000","Casa con seis reca?maras, seis ban?os, cuarto de servicio con ban?o en la azotea, cuarto de lavado y tendido, sala con chimenea, bonito patio central, cocina amplia, cuenta con cuatro lugares de estacionamiento, dos accesos, puerta principal y de servicio. La casa fue remodelada hace once an?os. Se vende en las condiciones en la que se encuentra actualmente. Descripcio?n de la colonia: A so?lo dos cuadras de la Calzada Independencia. Servicios cercanos: cuenta con todos los servicios",567m²,342m²,Publicado hace 40 días,
